Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Correzzola; 5.298 ; 329.860 ; 323.220 ; 163.440 ; 209.340 ;;; 9.023 ; 198.400 ; 9.012 ; 1.391 ; 27.580 ; -   ; 296.740 ; 1.568.006 ; 76,8 ; 676 ;
;Due Carrare; 9.050 ; 683.390 ; 741.470 ; 316.500 ; 572.390 ;;; 51.356 ; 371.450 ; 360.578 ; 19.156 ; 336.880 ; 36.950 ; 1.123.950 ; 4.614.070 ; 67,8 ; 1.024 ;
;Este; 16.562 ; 1.456.520 ; 1.874.668 ; 592.220 ; 1.083.890 ;;; 110.528 ; 517.210 ; 356.649 ; 23.757 ; 325.974 ; 316.890 ; 2.202.340 ; 8.860.646 ; 67,6 ; 786 ;
;Granze; 2.041 ; 161.220 ; 167.080 ; 48.730 ; 72.900 ;;; 2.487 ; 61.960 ; 8.837 ; 589 ; 2.115 ; 3.140 ; 154.580 ; 683.638 ; 74,5 ; 158 ;
;Legnaro; 8.797 ; 815.450 ; 952.074 ; 278.480 ; 456.951 ;;; 25.155 ; 295.980 ; 22.702 ; 3.567 ; 39.880 ; 15.470 ; 839.710 ; 3.745.419 ; 74,5 ; 787 ;
;Lozzo Atestino; 3.158 ; 163.120 ; 157.720 ; 122.720 ; 141.520 ;;; 2.693 ; 106.900 ; 45.547 ; 1.522 ; 18.340 ; 12.960 ; 341.780 ; 1.114.822 ; 64,7 ; 578 ;
;Maserà di Padova; 9.081 ; 557.050 ; 473.300 ; 227.480 ; 407.260 ;;; 51.351 ; 220.420 ; 50.600 ; 2.218 ; 35.720 ; 39.520 ; 1.012.010 ; 3.076.929 ; 63,2 ; 594 ;
;Masi; 1.805 ; 117.660 ; 135.668 ; 55.900 ; 67.310 ;;; 1.854 ; 55.760 ; 5.034 ; 425 ; 46.916 ; 7.500 ; 95.150 ; 589.177 ; 74,7 ; 271 ;
;Megliadino San Fidenzio; 1.939 ; 162.790 ; 223.168 ; 73.780 ; 222.150 ;;; 1.854 ; 66.860 ; 10.682 ; 494 ; 51.063 ; -   ; 315.450 ; 1.128.291 ; 67,5 ; 273 ;
;Megliadino San Vitale; 1.959 ; 127.820 ; 135.608 ; 68.920 ; 64.080 ;;; 1.854 ; 54.100 ; 5.172 ; 540 ; 51.062 ; -   ; 104.070 ; 613.226 ; 75,1 ; 296 ;
;Merlara; 2.691 ; 150.160 ; 149.132 ; 107.800 ; 177.200 ;;; 9.026 ; 94.200 ; 145.432 ; 7.244 ; 77.634 ; 29.620 ; 192.700 ; 1.140.148 ; 73,8 ; 491 ;
;Monselice; 17.617 ; 1.657.630 ; 2.228.300 ; 838.290 ; 1.179.100 ;;; 109.390 ; 665.740 ; 335.463 ; 31.860 ; 309.220 ; 193.660 ; 2.621.460 ; 10.170.113 ; 68,6 ; 895 ;
;Montagnana; 9.214 ; 710.500 ; 743.960 ; 384.860 ; 567.500 ;;; 53.601 ; 387.670 ; 161.862 ; 4.630 ; 202.940 ; 163.120 ; 904.540 ; 4.285.183 ; 69,6 ; 896 ;
;Ospedaletto Euganeo; 5.738 ; 418.960 ; 563.532 ; 162.760 ; 177.820 ;;; 10.998 ; 121.700 ; 11.759 ; 1.899 ; 41.426 ; -   ; 454.660 ; 1.965.514 ; 73,9 ; 149 ;
;Pernumia; 3.892 ; 325.880 ; 425.910 ; 116.670 ; 216.890 ;;; 4.972 ; 129.120 ; 4.300 ; 1.507 ; 19.860 ; 23.800 ; 412.200 ; 1.681.109 ; 71,4 ; 149 ;
;Piacenza d'Adige; 1.341 ; 78.310 ; 87.127 ; 51.240 ; 108.150 ;;; 2.134 ; 39.610 ; 166.239 ; 12.324 ; 23.718 ; 12.160 ; 90.360 ; 671.372 ; 80,8 ; 214 ;
;Piove di Sacco; 19.718 ; 1.805.000 ; 1.259.400 ; 756.480 ; 1.114.940 ;;; 114.043 ; 686.460 ; 329.282 ; 30.065 ; 635.660 ; 201.760 ; 2.135.590 ; 9.068.680 ; 67,5 ; 1.657 ;
;Polverara; 3.275 ; 170.270 ; 163.742 ; 149.120 ; 141.820 ;;; 17.251 ; 97.180 ; 6.400 ; 2.123 ; 69.210 ; -   ; 258.290 ; 1.075.406 ; 69,3 ; 461 ;
;Ponso; 2.471 ; 133.865 ; 212.353 ; 56.320 ; 109.350 ; 7.360 ;; 2.841 ; 81.960 ; 12.002 ; 651 ; 37.215 ; 20.080 ; 171.180 ; 845.177 ; 72,0 ; 340 ;
;Pontelongo; 3.863 ; 239.800 ; 199.280 ; 138.580 ; 246.000 ;;; 13.950 ; 141.730 ; 43.681 ; 4.823 ; 70.260 ; 12.130 ; 404.130 ; 1.514.364 ; 66,6 ; 399 ;
;Pozzonovo; 3.590 ; 353.710 ; 534.900 ; 107.640 ; 324.080 ;;; 3.020 ; 143.340 ; 17.137 ; 741 ; 16.740 ; -   ; 363.600 ; 1.864.908 ; 78,0 ; 363 ;
;Saletto; 2.749 ; 150.980 ; 274.960 ; 89.010 ; 130.920 ;;; 5.158 ; 101.200 ; 1.832 ; 945 ; 12.870 ; 1.880 ; 308.420 ; 1.078.175 ; 68,1 ; 343 ;
;San Pietro Viminario; 3.039 ; 223.580 ; 305.390 ; 90.230 ; 154.480 ;;; 3.553 ; 116.220 ; 4.552 ; 1.464 ; 5.520 ; 8.450 ; 320.570 ; 1.234.009 ; 70,7 ; 44 ;
;Santa Margherita d'Adige; 2.297 ; 168.135 ; 316.688 ; 85.680 ; 109.760 ;;; 1.854 ; 82.960 ; 3.542 ; 711 ; 75.851 ; 13.300 ; 174.100 ; 1.032.581 ; 74,8 ; 198 ;
;Sant'Angelo di Piove di Sacco; 7.256 ; 544.690 ; 580.160 ; 208.040 ; 389.520 ;;; 1.390 ; 202.380 ; 9.460 ; 2.558 ; -   ; 40.330 ; 700.040 ; 2.678.568 ; 70,5 ; 834 ;
;Sant'Elena; 2.467 ; 258.940 ; 394.040 ; 75.260 ; 182.990 ;;; 1.915 ; 82.060 ; 4.222 ; 1.363 ; 76.271 ; 23.910 ; 347.300 ; 1.448.271 ; 69,3 ; 124 ;
;Sant'Urbano; 2.064 ; 147.840 ; 216.560 ; 56.540 ; 72.290 ;;; 3.197 ; 66.260 ; 4.264 ; 72 ; 10.420 ; -   ; 265.980 ; 843.423 ; 65,3 ; 155 ;
;Solesino; 7.072 ; 1.115.010 ; 1.053.240 ; 259.700 ; 397.600 ;;; 62.120 ; 256.180 ; 255.067 ; 6.687 ; 361.755 ; 64.180 ; 577.680 ; 4.409.219 ; 78,3 ; 412 ;
;Stanghella; 4.203 ; 333.280 ; 352.500 ; 150.960 ; 190.580 ;;; 37.936 ; 148.300 ; 61.132 ; 6.339 ; 58.220 ; 1.840 ; 330.200 ; 1.671.287 ; 75,6 ; 367 ;
;Terrassa Padovana; 2.686 ; 164.320 ; 211.412 ; 78.480 ; 124.860 ;;; 17.249 ; 91.820 ; 4.427 ; 1.433 ; 70.540 ; 9.480 ; 235.030 ; 1.009.051 ; 68,7 ; 356 ;
;Tribano; 4.427 ; 324.240 ; 487.420 ; 184.460 ; 237.740 ;;; 26.547 ; 143.240 ; 128.392 ; 6.598 ; 47.560 ; 32.400 ; 477.980 ; 2.096.577 ; 72,4 ; 69 ;
;Urbana; 2.145 ; 186.420 ; 204.114 ; 99.340 ; 94.220 ;;; 3.007 ; 76.040 ; 6.827 ; 294 ; 111.190 ; 13.520 ; 132.750 ; 927.722 ; 73,9 ; 423 ;
;Vescovana; 1.821 ; 163.520 ; 204.080 ; 46.320 ; 59.800 ;;; 2.131 ; 42.960 ; 3.752 ; 415 ; 6.260 ; 1.380 ; 157.300 ; 687.918 ; 74,8 ; 5 ;
;Vighizzolo d'Este; 924 ; 56.950 ; 135.937 ; 39.840 ; 34.010 ;;; 1.062 ; 23.330 ; 1.427 ; 1.015 ; 15.324 ; -   ; 77.260 ; 386.155 ; 75,8 ; 56 ;
;Villa Estense; 2.212 ; 136.580 ; 309.840 ; 65.090 ; 99.540 ;;; 2.841 ; 65.510 ; 2.102 ; 488 ; 11.660 ; -   ; 255.520 ; 949.171 ; 70,3 ; 294 ;
;Vo; 3.372 ; 337.660 ; 254.180 ; 223.920 ; 186.840 ; 105.020 ;; 6.015 ; -   ; 6.580 ; 1.655 ; 43.220 ; -   ; 368.260 ; 1.533.350 ; 74,0 ;;
PADOVA SUD Totale;; 256.614 ; 19.995.250 ; 22.356.819 ; 9.044.350 ; 13.963.701 ; 127.980 ;; 1.018.921 ; 8.718.970 ; 3.920.795 ; 263.527 ; 4.684.801 ; 1.704.630 ; 25.736.520 ; 111.536.264 ; 70,6 ; 23.970 ;
ROVIGO;Adria; 19.869 ; 1.732.549 ; 1.790.190 ; 725.860 ; 1.169.780 ; 54.910 ;; 57.730 ; 668.950 ; 256.919 ; 31.220 ; 287.470 ; 121.240 ; 2.371.530 ; 9.268.348 ; 68,6 ; 1.416 ;
;Ariano nel Polesine; 4.369 ; 283.391 ; 453.970 ; 159.580 ; 190.614 ;;; 16.117 ; 149.140 ; 14.349 ; 4.223 ; 37.770 ; -   ; 596.500 ; 1.905.654 ; 65,2 ; 715 ;
;Arquà Polesine; 2.785 ; 234.170 ; 333.520 ; 83.100 ; 155.830 ; 17.970 ;; 6.443 ; 76.170 ; 6.583 ; 2.354 ; 16.970 ; -   ; 301.890 ; 1.235.000 ; 73,0 ;;
;Badia Polesine; 10.611 ; 1.015.390 ; 991.715 ; 421.080 ; 560.140 ; 139.900 ;; 28.652 ; 291.640 ; 156.564 ; 14.293 ; 186.450 ; 277.700 ; 1.489.290 ; 5.572.814 ; 63,9 ; 515 ;
;Bagnolo di Po; 1.319 ; 86.300 ; 158.530 ; 41.760 ; 50.410 ;;; 5.771 ; 40.580 ; 5.280 ; 969 ; 10.680 ; -   ; 124.450 ; 524.730 ; 72,7 ;;
;Bergantino; 2.590 ; 164.565 ; 379.835 ; 93.660 ; 95.020 ; 5.320 ;; 10.420 ; 75.710 ; 42.356 ; 5.285 ; 44.955 ; -   ; 340.630 ; 1.257.756 ; 68,1 ; 305 ;
;Bosaro; 1.517 ; 97.578 ; 171.549 ; 49.758 ; 55.386 ; 2.073 ;; 1.712 ; 37.544 ; 10.199 ; 1.167 ; 18.248 ; -   ; 152.255 ; 597.469 ; 70,2 ; 50 ;
;Calto; 764 ; 55.485 ; 112.780 ; 23.760 ; 40.085 ;;; 3.358 ; 27.160 ; 3.291 ; 812 ; 8.560 ; -   ; 102.360 ; 377.651 ; 69,2 ; 71 ;
;Canaro; 2.793 ; 200.070 ; 412.030 ; 98.490 ; 89.600 ;;; 9.301 ; 75.340 ; 8.900 ; 2.202 ; 37.370 ; -   ; 297.700 ; 1.231.003 ; 71,6 ; 45 ;
;Canda; 969 ; 63.200 ; 97.160 ; 25.130 ; 39.870 ;;; 3.389 ; 27.630 ; 3.335 ; 1.003 ; 5.880 ; 300 ; 101.080 ; 367.977 ; 69,4 ;;
;Castelguglielmo; 1.645 ; 96.790 ; 195.110 ; 52.100 ; 64.430 ;;; 7.367 ; 39.630 ; 4.718 ; 1.187 ; 20.390 ; -   ; 175.110 ; 656.832 ; 69,0 ;;
;Castelmassa; 4.287 ; 370.561 ; 550.150 ; 132.250 ; 186.030 ; 14.620 ;; 26.810 ; 124.350 ; 40.055 ; 7.207 ; 68.100 ; -   ; 551.220 ; 2.071.353 ; 68,9 ;;
;Castelnovo Bariano; 2.835 ; 192.974 ; 235.160 ; 117.600 ; 129.405 ; 620 ;; 12.090 ; 78.780 ; 20.803 ; 5.564 ; 124.470 ; -   ; 281.210 ; 1.198.676 ; 64,8 ; 154 ;
;Ceneselli; 1.744 ; 105.930 ; 265.400 ; 47.620 ; 65.290 ;;; 6.887 ; 56.490 ; 3.666 ; 1.143 ; 15.320 ; -   ; 179.050 ; 746.796 ; 72,5 ; 156 ;
;Ceregnano; 3.683 ; 197.111 ; 289.030 ; 77.930 ; 111.990 ;;; 8.206 ; 131.100 ; 10.537 ; 1.686 ; 32.700 ; -   ; 285.950 ; 1.146.240 ; 69,8 ; 278 ;
;Corbola; 2.461 ; 160.141 ; 307.140 ; 87.880 ; 199.685 ; 4.990 ;; 9.900 ; 82.940 ; 41.619 ; 3.966 ; 32.170 ; -   ; 344.060 ; 1.274.491 ; 69,2 ; 229 ;
;Costa di Rovigo; 2.659 ; 162.790 ; 316.190 ; 57.050 ; 111.570 ;;; 16.360 ; 74.030 ; 2.300 ; 4.376 ; 86.440 ; -   ; 305.710 ; 1.136.816 ; 64,2 ; 325 ;
;Crespino; 1.910 ; 122.857 ; 215.991 ; 62.649 ; 69.735 ; 2.611 ;; 2.154 ; 47.271 ; 12.841 ; 1.468 ; 22.975 ; -   ; 191.699 ; 752.251 ; 70,2 ; 246 ;
;Ficarolo; 2.493 ; 193.140 ; 331.490 ; 87.140 ; 102.350 ; 12.140 ;; 7.692 ; 83.790 ; 6.964 ; 4.515 ; 25.340 ; 830 ; 488.580 ; 1.343.971 ; 60,5 ; 170 ;
;Fiesso Umbertiano; 4.182 ; 374.220 ; 603.390 ; 113.560 ; 141.960 ;;; 17.115 ; 114.580 ; 2.460 ; 2.993 ; 95.260 ; 8.750 ; 475.170 ; 1.949.458 ; 69,1 ; 55 ;
;Frassinelle Polesine; 1.457 ; 83.130 ; 190.480 ; 46.070 ; 53.320 ;;; 7.439 ; 38.090 ; 7.020 ; 1.245 ; 17.910 ; -   ; 123.700 ; 568.404 ; 73,8 ; 147 ;
;Fratta Polesine; 2.683 ; 226.100 ; 446.180 ; 91.640 ; 112.630 ; 3.910 ;; 6.446 ; 74.860 ; 5.338 ; 1.572 ; 65.320 ; -   ; 310.780 ; 1.344.776 ; 70,9 ; 36 ;
;Gaiba; 1.059 ; 82.860 ; 169.970 ; 25.550 ; 44.320 ;;; 6.078 ; 35.560 ; 3.645 ; 777 ; 8.810 ; -   ; 100.290 ; 477.860 ; 75,7 ;;
;Gavello; 1.554 ; 75.163 ; 197.450 ; 81.500 ; 47.500 ;;; 5.687 ; 45.870 ; 4.249 ; 1.195 ; 13.880 ; -   ; 148.950 ; 621.444 ; 72,3 ;;
;Giacciano con Baruchella; 2.171 ; 157.700 ; 253.955 ; 50.890 ; 84.070 ; 4.810 ;; 8.021 ; 76.280 ; 8.874 ; 1.717 ; 27.780 ; -   ; 268.100 ; 942.197 ; 66,9 ; 4 ;
;Guarda Veneta; 1.182 ; 76.030 ; 133.666 ; 38.770 ; 43.155 ; 1.616 ;; 1.335 ; 29.253 ; 7.947 ; 910 ; 14.218 ; -   ; 118.633 ; 465.533 ; 70,2 ; 69 ;
;Lendinara; 11.963 ; 1.062.790 ; 1.418.380 ; 370.300 ; 629.590 ; 52.410 ;; 19.842 ; 329.240 ; 94.165 ; 8.690 ; 254.910 ; 33.260 ; 1.420.410 ; 5.693.987 ; 68,8 ; 539 ;
;Loreo; 3.554 ; 262.721 ; 246.230 ; 115.480 ; 138.545 ; 1.270 ;; 8.490 ; 103.780 ; 8.651 ; 4.018 ; 65.830 ; 5.170 ; 366.750 ; 1.326.935 ; 65,5 ; 285 ;
;Lusia; 3.530 ; 298.550 ; 319.770 ; 109.850 ; 144.410 ;;; 9.766 ; 110.180 ; 12.286 ; 2.595 ; 38.170 ; 24.950 ; 433.660 ; 1.504.187 ; 65,5 ; 232 ;
;Melara; 1.814 ; 119.540 ; 149.885 ; 73.020 ; 87.800 ;;; 6.151 ; 74.490 ; 4.593 ; 3.169 ; 38.760 ; -   ; 285.200 ; 842.608 ; 59,8 ; 258 ;
;Occhiobello; 11.915 ; 1.057.990 ; 1.104.680 ; 400.690 ; 607.120 ; 103.040 ;; 48.952 ; 608.810 ; 245.816 ; 15.838 ; 206.780 ; 33.300 ; 1.293.950 ; 5.726.966 ; 70,9 ; 175 ;
;Papozze; 1.558 ; 122.830 ; 228.640 ; 55.390 ; 51.985 ;;; 6.495 ; 57.430 ; 3.165 ; 1.465 ; 13.770 ; -   ; 196.350 ; 737.520 ; 70,0 ;;
;Pettorazza Grimani; 1.601 ; 82.660 ; 137.010 ; 50.630 ; 65.910 ;;; 4.252 ; 51.160 ; 7.522 ; 1.120 ; 10.340 ; -   ; 142.520 ; 553.124 ; 70,5 ; 301 ;
;Pincara; 1.202 ; 62.130 ; 132.680 ; 36.960 ; 58.390 ;;; 4.782 ; 44.010 ; 2.996 ; 1.132 ; 8.180 ; -   ; 135.080 ; 486.340 ; 68,7 ; 135 ;
;Polesella; 4.075 ; 262.116 ; 460.819 ; 133.662 ; 148.779 ; 5.570 ;; 4.597 ; 100.852 ; 27.396 ; 3.133 ; 49.018 ; -   ; 408.993 ; 1.604.935 ; 70,2 ; 103 ;
;Pontecchio Polesine; 2.209 ; 132.200 ; 257.210 ; 57.390 ; 66.735 ;;; 3.843 ; 54.500 ; 8.147 ; 2.321 ; 14.710 ; -   ; 130.250 ; 727.306 ; 78,6 ; 23 ;
;Porto Tolle; 9.854 ; 1.016.341 ; 1.038.450 ; 371.780 ; 426.810 ; 67.360 ;; 32.109 ; 372.860 ; 38.345 ; 33.949 ; 153.020 ; 15.450 ; 1.667.770 ; 5.234.244 ; 63,5 ; 282 ;
;Porto Viro; 14.543 ; 1.621.621 ; 1.416.780 ; 553.750 ; 806.330 ; 185.520 ;; 53.001 ; 511.810 ; 126.968 ; 19.507 ; 209.840 ; 435.330 ; 2.047.720 ; 7.988.177 ; 65,0 ; 26 ;
;Rosolina; 6.470 ; 821.251 ; 889.340 ; 399.160 ; 485.861 ; 23.210 ;; 25.090 ; 353.150 ; 81.950 ; 7.715 ; 108.220 ; 88.760 ; 1.886.470 ; 5.170.177 ; 58,2 ; 580 ;
;Rovigo; 52.170 ; 3.296.410 ; 5.310.290 ; 43.400 ; 3.027.173 ; 74.530 ;; 320.992 ; 4.546.950 ; 1.102.067 ; 118.933 ; 439.875 ; 787.030 ; 12.293.690 ; 31.361.340 ; 53,1 ; 1.229 ;
;Salara; 1.188 ; 78.060 ; 106.930 ; 39.270 ; 50.130 ;;; 3.955 ; 36.170 ; 4.321 ; 1.348 ; 8.720 ; -   ; 137.100 ; 466.004 ; 67,2 ; 202 ;
;San Bellino; 1.140 ; 83.800 ; 85.620 ; 28.820 ; 55.070 ;;; 4.671 ; 33.060 ; 3.059 ; 935 ; 6.080 ; -   ; 163.520 ; 464.635 ; 62,1 ;;
;San Martino di Venezze; 3.974 ; 279.029 ; 461.550 ; 143.380 ; 122.240 ;;; 8.120 ; 101.720 ; 11.229 ; 2.023 ; 36.420 ; -   ; 400.200 ; 1.565.911 ; 70,8 ; 406 ;
;Stienta; 3.300 ; 224.210 ; 464.830 ; 95.010 ; 144.420 ; 7.910 ;; 15.579 ; 93.670 ; 46.659 ; 4.997 ; 43.920 ; 3.340 ; 492.510 ; 1.637.055 ; 65,9 ; 150 ;
;Taglio di Po; 8.371 ; 677.851 ; 727.790 ; 263.820 ; 433.850 ; 66.300 ;; 50.653 ; 238.690 ; 104.745 ; 15.161 ; 94.400 ; 13.930 ; 921.930 ; 3.609.120 ; 70,1 ; 326 ;
;Trecenta; 2.822 ; 214.180 ; 232.670 ; 82.290 ; 155.710 ;;; 9.640 ; 97.310 ; 6.340 ; 3.170 ; 30.430 ; -   ; 468.840 ; 1.300.580 ; 60,1 ; 186 ;
;Villadose; 5.125 ; 374.331 ; 665.080 ; 110.400 ; 201.010 ; 9.320 ;; 11.821 ; 140.740 ; 22.174 ; 4.567 ; 52.500 ; -   ; 541.900 ; 2.133.843 ; 70,8 ; 389 ;
;Villamarzana; 1.195 ; 100.040 ; 160.100 ; 34.030 ; 39.240 ;;; 4.867 ; 34.980 ; 2.800 ; 1.013 ; 13.420 ; -   ; 141.460 ; 531.950 ; 69,6 ; 80 ;
;Villanova del Ghebbo; 2.058 ; 149.440 ; 263.120 ; 70.510 ; 114.180 ;;; 5.429 ; 60.530 ; 2.700 ; 1.880 ; 24.890 ; -   ; 303.150 ; 995.829 ; 65,8 ; 102 ;
;Villanova Marchesana; 956 ; 62.130 ; 76.320 ; 29.760 ; 39.290 ; 3.110 ;; 5.485 ; 24.050 ; 2.998 ; 2.701 ; 6.090 ; -   ; 97.700 ; 349.634 ; 69,0 ;;
ROVIGO Totale;; 242.178 ; 19.072.416 ; 25.956.205 ; 6.561.129 ; 12.114.753 ; 865.040 ;; 961.062 ; 10.782.880 ; 2.661.904 ; 366.429 ; 3.253.729 ; 1.849.340 ; 36.603.020 ; 121.047.907 ; 63,5 ; 10.995 ;
SINISTRA PIAVE;Cappella Maggiore; 4.710 ; 289.000 ; 90.348 ; 161.966 ; 220.373 ; 7.111 ;; 24.676 ; 146.070 ; 87.058 ; 7.707 ; 34.920 ; 15.260 ; 139.283 ; 1.223.772 ; 82,5 ; 964 ;
;Cessalto; 3.849 ; 237.040 ; 189.190 ; 112.700 ; 140.050 ; 9.555 ;; 28.654 ; 113.290 ; 104.964 ; 4.808 ; 66.020 ; 23.040 ; 145.700 ; 1.175.011 ; 79,4 ; 558 ;
;Chiarano; 3.731 ; 257.150 ; 225.140 ; 104.610 ; 167.310 ; 22.975 ;; 21.912 ; 89.850 ; 94.592 ; 4.938 ; 66.480 ; 18.430 ; 128.880 ; 1.202.267 ; 82,1 ; 563 ;
;Cimadolmo; 3.401 ; 221.970 ; 238.427 ; 132.030 ; 283.263 ; 60.991 ;; 20.462 ; 99.340 ; 170.132 ; 3.256 ; 44.421 ; -   ; 118.670 ; 1.392.962 ; 87,5 ; 750 ;
;Cison di Valmarino; 2.647 ; 186.800 ; 52.520 ; 176.040 ; 154.235 ; 19.100 ;; 29.801 ; 89.155 ; 105.750 ; 8.437 ; 83.300 ; 9.160 ; 100.535 ; 1.014.833 ; 81,3 ; 862 ;
;Codognè; 5.343 ; 261.660 ; 158.670 ; 178.610 ; 254.635 ; 29.580 ;; 22.576 ; 159.690 ; 93.100 ; 7.476 ; 55.860 ; 28.860 ; 215.670 ; 1.466.387 ; 78,0 ; 1.237 ;
;Colle Umberto; 5.111 ; 352.460 ; 235.065 ; 173.199 ; 315.279 ; 22.443 ;; 25.981 ; 151.250 ; 93.736 ; 8.915 ; 122.787 ; 6.780 ; 166.830 ; 1.674.725 ; 82,3 ; 1.056 ;
;Conegliano; 34.891 ; 3.918.360 ; 1.064.200 ; 1.578.470 ; 2.265.285 ; 110.310 ;; 129.773 ; 1.125.140 ; 571.051 ; 42.360 ; 305.640 ; 609.820 ; 1.906.480 ; 13.626.889 ; 78,0 ; 1.668 ;
;Cordignano; 7.020 ; 447.960 ; 377.010 ; 237.460 ; 331.210 ; 31.160 ;; 38.360 ; 172.210 ; 208.488 ; 11.052 ; 167.820 ; 27.740 ; 293.230 ; 2.343.700 ; 79,5 ; 1.444 ;
;Farra di Soligo; 8.913 ; 493.220 ; 451.600 ; 375.100 ; 418.830 ; 56.615 ;; 37.258 ; 225.470 ; 165.440 ; 14.398 ; 79.540 ; 44.700 ; 509.410 ; 2.871.581 ; 76,9 ; 1.904 ;
;Follina; 3.873 ; 270.800 ; 60.951 ; 220.064 ; 226.864 ; 17.120 ;; 16.907 ; 139.851 ; 87.240 ; 6.164 ; 35.298 ; 43.680 ; 145.291 ; 1.270.230 ; 80,5 ; 889 ;
;Fontanelle; 5.774 ; 295.150 ; 253.090 ; 187.830 ; 238.740 ; 27.110 ; 190 ; 32.411 ; 152.985 ; 228.860 ; 8.499 ; 97.760 ; 34.760 ; 171.440 ; 1.728.825 ; 82,0 ; 1.151 ;
;Fregona; 3.013 ; 161.760 ; 58.524 ; 98.060 ; 121.284 ; 4.607 ;; 15.983 ; 83.012 ; 56.394 ; 4.243 ; 22.620 ; 26.500 ; 138.003 ; 790.990 ; 74,6 ; 818 ;
;Gaiarine; 6.110 ; 260.440 ; 560.510 ; 213.090 ; 288.740 ; 34.310 ;; 42.335 ; 156.590 ; 143.610 ; 10.300 ; 127.400 ; -   ; 244.000 ; 2.081.325 ; 82,2 ; 1.559 ;
;Godega di Sant'Urbano; 6.062 ; 331.060 ; 362.885 ; 192.231 ; 266.571 ; 42.447 ;; 39.784 ; 154.280 ; 144.703 ; 12.151 ; 189.553 ; 28.280 ; 201.230 ; 1.965.175 ; 79,7 ; 1.559 ;
;Gorgo al Monticano; 4.190 ; 266.490 ; 221.260 ; 146.000 ; 153.880 ; 16.930 ;; 32.834 ; 114.280 ; 82.711 ; 4.644 ; 55.700 ; 20.540 ; 137.780 ; 1.253.049 ; 82,0 ;;
;Mansuè; 5.008 ; 233.240 ; 224.670 ; 172.388 ; 169.590 ; 9.984 ;; 32.967 ; 136.815 ; 95.838 ; 8.062 ; 53.892 ; 37.040 ; 160.720 ; 1.335.206 ; 79,9 ; 911 ;
;Mareno di Piave; 9.661 ; 605.420 ; 430.880 ; 321.580 ; 442.440 ; 47.065 ;; 47.749 ; 263.140 ; 160.960 ; 17.108 ; 104.600 ; 65.260 ; 315.840 ; 2.822.042 ; 81,6 ; 1.681 ;
;Meduna di Livenza; 2.861 ; 188.930 ;; 96.630 ; 120.280 ; 7.995 ;; 18.560 ; 87.900 ; 4.843 ; 4.748 ; 83.840 ; 11.120 ; 95.710 ; 720.556 ; 74,1 ; 368 ;
;Miane; 3.329 ; 134.900 ; 52.389 ; 142.886 ; 143.139 ; 14.485 ;; 14.532 ; 81.509 ; 74.988 ; 3.996 ; 30.342 ; 7.000 ; 117.600 ; 817.766 ; 79,7 ; 949 ;
;Moriago della Battaglia; 2.761 ; 157.260 ; 81.720 ; 108.190 ; 134.160 ; 22.900 ;; 17.315 ; 74.180 ; 79.430 ; 6.307 ; 28.300 ; 12.660 ; 78.680 ; 801.102 ; 83,9 ; 559 ;
;Motta di Livenza; 10.668 ; 894.640 ; 680.280 ; 417.210 ; 565.490 ; 98.425 ;; 63.405 ; 298.830 ; 260.778 ; 16.879 ; 179.180 ; 149.300 ; 724.280 ; 4.348.697 ; 75,4 ; 857 ;
;Oderzo; 20.378 ; 1.851.620 ; 2.595.680 ; 880.270 ; 1.457.825 ; 101.815 ;; 109.894 ; 870.300 ; 355.260 ; 22.234 ; 265.580 ; 139.120 ; 1.096.420 ; 9.746.018 ; 83,2 ; 1.700 ;
;Ormelle; 4.478 ; 307.730 ; 149.001 ; 156.010 ; 184.565 ; 26.293 ;; 26.491 ; 121.960 ; 107.882 ; 5.086 ; 50.483 ; 24.560 ; 184.290 ; 1.344.351 ; 79,6 ; 625 ;
;Orsago; 3.873 ; 230.720 ; 137.180 ; 106.100 ; 168.870 ; 21.110 ;; 19.208 ; 99.890 ; 70.840 ; 5.791 ; 42.040 ; 22.780 ; 140.780 ; 1.065.309 ; 79,6 ; 684 ;
;Pieve di Soligo; 12.106 ; 972.600 ; 507.120 ; 468.360 ; 616.725 ; 55.890 ; 180 ; 71.917 ; 349.305 ; 257.154 ; 17.025 ; 109.800 ; 98.440 ; 527.620 ; 4.052.136 ; 80,6 ; 1.694 ;
;Ponte di Piave; 8.342 ; 712.460 ; 442.050 ; 271.960 ; 400.155 ; 37.165 ;; 51.816 ; 249.990 ; 208.738 ; 10.646 ; 105.680 ; 92.900 ; 382.250 ; 2.965.810 ; 79,2 ; 766 ;
