BELLUNO;Tambre;1374;175671;-;;138071;65216;-;13008;114194;96196;4269;48609;-;171328;826562;73.6;387;
BELLUNO;Trichiana;4868;165990;-;;273750;26570;-;27631;234110;152083;9330;132480;48120;375040;1445104;59.9;1659;
BELLUNO;Vallada Agordina;489;42655;5074;30797;34916;3616;-;5151;23755;28343;1677;10048;7170;35916;229118;75.6;204;
BELLUNO;Valle Di Cadore;1964;139970;-;;94020;33920;-;15653;95690;47553;936;14160;114960;216120;772982;54.9;370;
BELLUNO;Vigo Di Cadore;1440;130180;35106;5990;96771;200;-;11774;138641;108352;3563;38393;48800;64080;681850;77.4;315;
BELLUNO;Vodo Cadore;853;79590;39500;-;54930;20050;-;8255;54990;23854;377;4780;30980;164620;481926;57.8;109;
BELLUNO;Voltago Agordino;862;75177;8943;54278;61539;6374;-;9078;41868;49953;2953;17708;12637;63300;403808;75.6;314;
BELLUNO;Zoldo Alto;912;106890;2560;8170;63219;-;;5056;120399;34800;2045;17727;-;86930;447796;71.0;322;
BELLUNO;Zoppe' Di Cadore;229;15240;85;-;7043;-;;1520;10747;3283;384;2132;-;8660;49094;73.3;44;
BRENTA;Asiago;6426;362160;197700;374820;472970;285340;-;37430;-;20645;5027;63020;504000;2069480;4392592;46.7;663;
BRENTA;Bassano Del Grappa;43372;4303070;3463359;1808757;3038988;1427429;-;231573;-;851920;85063;613819;725560;4952320;21501858;73.5;1150;
BRENTA;Borgoricco;8755;513380;387921;342012;463416;7654;-;34456;348160;64407;7754;46783;6300;781670;3003913;70.8;1209;
BRENTA;Cadoneghe;16206;1521540;926739;455025;777098;45388;-;65026;502720;223617;13987;103269;148600;1559410;6342419;71.3;445;
BRENTA;Campo San Martino;5752;325700;167075;172822;470539;2202;-;24183;191100;57441;5283;44560;47840;622230;2130975;66.3;914;
BRENTA;Campodarsego;14668;975430;839122;516058;818234;105310;-;52869;437180;113941;16543;54574;101440;1379200;5409901;71.5;1045;
BRENTA;Campodoro;2685;144780;280230;88920;88330;-;;6580;81180;31894;1582;19280;16760;160740;920276;78.9;236;
BRENTA;Campolongo Sul Brenta;819;67384;11140;43470;44830;30193;-;;-;4300;763;38130;-;73039;313249;68.2;10;
BRENTA;Camposampiero;12133;886380;527679;416657;790362;26549;-;48608;385760;198185;15972;73215;135250;1755240;5259857;63.1;1625;
BRENTA;Carmignano Di Brenta;7621;523360;320080;239840;356560;3010;-;45288;197560;143050;13078;219020;38320;720650;2819816;65.4;923;
BRENTA;Cartigliano;3800;228420;88081;95163;123662;92221;-;18057;-;63051;6687;37763;28880;240240;1022225;72.6;382;
BRENTA;Cassola;14619;924290;1200870;496060;608790;328170;-;83793;-;268830;33580;396990;213400;1179230;5734003;72.9;1087;
BRENTA;Cervarese Santa Croce;5742;426130;437040;142990;237100;6260;-;2100;152680;12420;989;92730;49380;588730;2148549;64.3;302;
BRENTA;Cismon Del Grappa;940;79447;8200;60365;62077;47323;-;6986;1538;30390;2209;30926;-;85998;415459;74.0;-;
